# ----------------------------------------,,,
# merton capital,,,
# Performance Overview,,,
# 2013-2022,,,
# ----------------------------------------,,,
,,,
Index,Merton,S&P 500,Nareit real-estate index
12/1/2013,"100,000","48,351",
1/1/2014,"43,039","51,499",
2/1/2014,"44,926","53,359",
3/1/2014,"41,256","49,018",
4/1/2014,"36,844","43,332",
5/1/2014,"28,955","33,419",
6/1/2014,"26,113","30,020",
7/1/2014,"28,433","33,183",
8/1/2014,"32,687","38,782",
9/1/2014,"35,689","42,566",
10/1/2014,"33,656","39,972",
11/1/2014,"34,559","40,414",
12/1/2014,"29,197","33,565",
1/1/2015,"26,495","30,738",
2/1/2015,"28,291","32,822",
3/1/2015,"35,472","42,081",
4/1/2015,"38,363","45,652",
5/1/2015,"41,645","49,572",
6/1/2015,"40,268","47,936",
7/1/2015,"32,846","37,539",
8/1/2015,"33,560","38,527",
9/1/2015,"39,327","46,847",
10/1/2015,"42,947","51,286",
11/1/2015,"44,179","53,245",
12/1/2015,"41,938","50,733",
1/1/2016,"40,964","49,046",
2/1/2016,"32,176","37,106",
3/1/2016,"28,915","33,218",
4/1/2016,"37,077","44,192",
5/1/2016,"41,477","49,612",
6/1/2016,"41,840","50,285",
7/1/2016,,,
8/1/2016,,,
9/1/2016,,,
10/1/2016,,,
11/1/2016,,,
12/1/2016,,,
1/1/2017,,,
2/1/2017,,,
3/1/2017,,,
4/1/2017,,,
5/1/2017,,,
6/1/2017,,,
7/1/2017,,,
8/1/2017,,,
9/1/2017,,,
10/1/2017,,,
11/1/2017,,,
12/1/2017,,,
1/1/2018,,,
2/1/2018,,,
3/1/2018,,,
4/1/2018,,,
5/1/2018,,,
6/1/2018,,,
7/1/2018,,,
8/1/2018,,,
9/1/2018,,,
10/1/2018,,,
11/1/2018,,,
12/1/2018,,,
1/1/2019,,,
2/1/2019,,,
3/1/2019,,,
4/1/2019,,,
5/1/2019,,,
6/1/2019,,,
7/1/2019,,,
8/1/2019,,,
9/1/2019,,,
10/1/2019,,,
11/1/2019,,,
12/1/2019,,,
1/1/2020,,,
2/1/2020,,,
3/1/2020,,,
4/1/2020,,,
5/1/2020,,,
6/1/2020,,,
7/1/2020,,,
8/1/2020,,,
9/1/2020,,,
10/1/2020,,,
11/1/2020,,,
12/1/2020,,,
1/1/2021,,,
2/1/2021,,,
3/1/2021,,,
4/1/2021,,,
5/1/2021,,,
6/1/2021,,,
7/1/2021,,,
8/1/2021,,,
9/1/2021,,,
10/1/2021,,,
11/1/2021,,,
12/1/2021,,,
1/1/2022,,,
2/1/2022,,,
3/1/2022,,,
4/1/2022,,,
5/1/2022,,,
6/1/2022,,,
7/1/2022,,,
8/1/2022,,,
9/1/2022,,,
10/1/2022,,,
,,,
,,,
